CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","VANGUARD 1","1958-002B","EARTH","TEME","UTC","SGP4","2020-10-02T06:00:21.048768","10.84868816","0.18457300","34.2438","259.2768","112.9355","267.6092","0","U","5","999","21685","0.00001792700000","0.00000000","0.0000000000000","8619.532","132.734","3832.329","650.464","PAYLOAD","MEDIUM","US","1958-03-17","AFETR","","2840178","162602885","0 VANGUARD 1","1     5U 58002B   20276.25024362 -.00000000 +00000-0 +17927-4 0  9992","2     5 034.2438 259.2768 1845730 112.9355 267.6092 10.84868816216858"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","VANGUARD 2","1959-001A","EARTH","TEME","UTC","SGP4","2020-10-02T13:22:18.188544","11.85679725","0.14668830","32.8692","13.2619","136.0955","236.6030","0","U","11","999","28769","0.00001288300000","0.00000031","0.0000000000000","8123.756","121.449","2937.281","553.961","PAYLOAD","MEDIUM","US","1959-02-17","AFETR","","2840178","162602394","0 VANGUARD 2","1    11U 59001A   20276.55715496 +.00000031 +00000-0 +12883-4 0  9996","2    11 032.8692 013.2619 1466883 136.0955 236.6030 11.85679725287694"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","VANGUARD R/B","1959-001B","EARTH","TEME","UTC","SGP4","2020-10-02T11:33:02.562624","11.44325235","0.16663890","32.9141","336.5255","278.6376","62.9698","0","U","12","999","29224","0.00021053000000","0.00000390","0.0000000000000","8318.318","125.838","3326.338","554.027","ROCKET BODY","MEDIUM","US","1959-02-17","AFETR","","2840178","162602867","0 VANGUARD R/B","1    12U 59001B   20276.48127966 +.00000390 +00000-0 +21053-3 0  9994","2    12 032.9141 336.5255 1666389 278.6376 062.9698 11.44325235292241"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","VANGUARD R/B","1958-002A","EARTH","TEME","UTC","SGP4","2020-10-02T04:41:07.863360","10.48675433","0.20220630","34.2658","206.4334","327.7501","21.3751","0","U","16","999","47004","-0.00000465840000","0.00000000","0.0000000000000","8816.734","137.316","4221.399","655.800","ROCKET BODY","MEDIUM","US","1958-03-17","AFETR","","2840178","162602871","0 VANGUARD R/B","1    16U 58002A   20276.19522990 +.00000000 +00000-0 -46584-5 0  9999","2    16 034.2658 206.4334 2022063 327.7501 021.3751 10.48675433470044"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","VANGUARD 3","1959-007A","EARTH","TEME","UTC","SGP4","2020-10-02T08:43:06.903840","11.55738021","0.16666590","33.3409","161.2072","113.8550","264.5285","0","U","20","999","24297","0.00014338000000","0.00000341","0.0000000000000","8263.465","124.595","3262.568","508.092","PAYLOAD","MEDIUM","US","1959-09-18","AFETR","","2840178","162602869","0 VANGUARD 3","1    20U 59007A   20276.36327435 +.00000341 +00000-0 +14338-3 0  9993","2    20 033.3409 161.2072 1666659 113.8550 264.5285 11.55738021242976"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","EXPLORER 7","1959-009A","EARTH","TEME","UTC","SGP4","2020-10-02T13:40:35.157504","14.95213890","0.01394600","50.2852","319.4474","307.9601","50.8813","0","U","22","999","48640","0.00004689500000","0.00000323","0.0000000000000","6959.845","96.307","678.772","484.648","PAYLOAD","MEDIUM","US","1959-10-13","AFETR","","2840178","162602872","0 EXPLORER 7","1    22U 59009A   20276.56985136 +.00000323 +00000-0 +46895-4 0  9991","2    22 050.2852 319.4474 0139460 307.9601 050.8813 14.95213890486408"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","TIROS 1","1960-002B","EARTH","TEME","UTC","SGP4","2020-10-02T09:49:07.308768","14.74374179","0.00243810","48.3789","163.8552","329.2926","30.6558","0","U","29","999","23432","0.00001658600000","-0.00000097","0.0000000000000","7025.275","97.668","664.268","630.012","PAYLOAD","MEDIUM","US","1960-04-01","AFETR","","2840178","162602877","0 TIROS 1","1    29U 60002B   20276.40911237 -.00000097 +00000-0 +16586-4 0  9990","2    29 048.3789 163.8552 0024381 329.2926 030.6558 14.74374179234321"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","TRANSIT 2A","1960-007A","EARTH","TEME","UTC","SGP4","2020-10-02T10:59:13.701408","14.33688360","0.02618680","66.6929","98.9028","238.5577","118.9684","0","U","45","999","8117","0.00001242700000","-0.00000059","0.0000000000000","7157.565","100.440","966.864","591.996","PAYLOAD","MEDIUM","US","1960-06-22","AFETR","","2840178","162602880","0 TRANSIT 2A","1    45U 60007A   20276.45779747 -.00000059 +00000-0 +12427-4 0  9994","2    45 066.6929 098.9028 0261868 238.5577 118.9684 14.33688360081179"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","SOLRAD 1 (GREB)","1960-007B","EARTH","TEME","UTC","SGP4","2020-10-02T06:56:44.567808","14.49319347","0.02042330","66.6891","117.8627","50.2789","311.6121","0","U","46","999","15459","0.00003013000000","0.00000035","0.0000000000000","7106.009","99.356","873.002","582.746","PAYLOAD","MEDIUM","US","1960-06-22","AFETR","","2840178","162602886","0 SOLRAD 1 (GREB)","1    46U 60007B   20276.28940472 +.00000035 +00000-0 +30130-4 0  9995","2    46 066.6891 117.8627 0204233 050.2789 311.6121 14.49319347154599"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2020-10-02T16:51:42","18 SPCS","THOR ABLESTAR R/B","1960-007C","EARTH","TEME","UTC","SGP4","2020-10-02T13:46:25.613184","14.42103968","0.02333800","66.6650","228.5551","226.1661","131.9946","0","U","47","999","15012","0.00000908590000","-0.00000073","0.0000000000000","7129.692","99.854","917.950","585.164","ROCKET BODY","LARGE","US","1960-06-22","AFETR","","2840178","162602878","0 THOR ABLESTAR R/B","1    47U 60007C   20276.57390756 -.00000073 +00000-0 +90859-5 0  9990","2    47 066.6650 228.5551 0233380 226.1661 131.9946 14.42103968150123"
